"Colon","Colon"
"Space","Space"
"Vertical pipe","Vertical pipe"
"Semi-colon","Semi-colon"
"Attribute Configuration","Attribute Configuration"
"Add Condition","Add Condition"
"Static","Static"
"Percent from value","Percent from value"
"Add Condition","Add Condition"
"Remove","Remove"
"OR","OR"
"Condition","Condition"
"Output Value","Output Value"
"Output Type","Output Type"
"Action","Action"
"Use Default Attribute","Use Default Attribute"
"Add New Value","Add New Value"
"Manage Dynamic Attributes","Manage Dynamic Attributes"
"Add Dynamic Attribute","Add Dynamic Attribute"
"Dynamic Attribute Code","Dynamic Attribute Code"
"Attribute Information","Attribute Information"
"Conditions and Values","Conditions and Values"
"For internal use. Must be unique with no spaces","For internal use. Must be unique with no spaces"
"e.g. ""Custom Price"", ""Google Category""...","e.g. ""Custom Price"", ""Google Category""..."
"Not Set"," Not Set"
"Dynamic attribute was successfully saved","Dynamic attribute was successfully saved"
"Cannot upload file.","Cannot upload file."
"Cannot change dir.","Cannot change dir."
"Authenticate failure.","Authenticate failure."
"Can’t connect to host.","Can’t connect to host."
"Cant open temp file","Cant open temp file"
"Please Select"," Please Select"
"Feeds","Feeds"
"Last Uploaded","Last Uploaded"
"Advanced Settings","Advanced Settings"
"Number of Products","Number of Products"
"Export Disabled and Out of stock Products","Export Disabled and Out of stock Products"
"Upload Settings","Upload Settings"
"Available Upload Days","Available Upload Days"
"Sunday","Sunday"
"Monday","Monday"
"Tuesday","Tuesday"
"Wednesday","Wednesday"
"Thursday","Thursday"
"Friday","Friday"
"Saturday","Saturday"
"Set Upload Time from, hour","Set Upload Time from, hour"
"Set Interval for Upload, hours","Set Interval for Upload, hours"
"every 1 hour","every 1 hour"
"every 3 hours","every 3 hours"
"every 6 hours","every 6 hours"
"every 12 hours","every 12 hours"
"every 24 hours","every 24 hours"
"Yes","Yes"
"No","No"
"Enable","Enable"
"Disable","Disable"
